774929.537 1155114.503 775842.572 1157037.725 2249.089
779435.784 1162389.047 779885.418 1166818.072 4602.648
779153.818 1161208.478 779435.784 1162389.047 1213.774
774408.586 1154559.304 774659.939 1154870.44 403.224
774085.703 1154401.281 774190.332 1154454.399 117.34
774190.332 1154454.399 774408.586 1154559.304 242.157
774659.939 1154870.44 774929.537 1155114.503 363.661
775842.572 1157037.725 779037.414 1160712.816 5315.09
769351.701 1151927.894 774085.703 1154401.281 5629.292
766244.546 1150233.338 769351.701 1151927.894 3784.226
764044.857 1148555.431 765690.371 1149716.912 2178.69
765804.26 1149736.749 766244.546 1150233.338 771.502
765690.371 1149716.912 765804.26 1149736.749 115.604
762572.037 1146638.383 764044.857 1148555.431 2450.68
758326.58 1150271.634 756777.772 1149305.209 2115.09
756777.772 1149305.209 755471.163 1146146.114 4681.883
755471.163 1146146.114 758918.563 1142604.028 6145.117
765690.371 1149716.912 762203.854 1152496.684 4513.532
762203.854 1152496.684 761588 1152451 617.552
762385.28 1155155.996 762203.854 1152496.684 3212.705
764888.536 1156957.588 763219.449 1155899.377 1977.638
762385.28 1155155.996 759360.818 1155799.201 3119.734
763219.449 1155899.377 762478.436 1155219.706 1027.739
762478.436 1155219.706 762385.28 1155155.996 112.858
765804.26 1149736.749 766910.84 1148750.929 1560.763
766910.84 1148750.929 773367.283 1145036.527 7657.899
773367.283 1145036.527 774424.607 1144537.917 1179.712
773947.268 1146085.249 773547.958 1146628.131 673.921
774190.332 1154454.399 774193.326 1154307.183 147.247
773896.996 1147612.786 773947.268 1146085.249 1593.871
774040.386 1147993.983 773896.996 1147612.786 407.391
774193.326 1154307.183 774040.386 1147993.983 6666.863
774424.607 1144537.917 774466.285 1144381.175 162.189
773947.268 1146085.249 774424.607 1144537.917 1620.482
774466.285 1144381.175 774534.535 1144140.886 249.794
776113.754 1147895.96 774040.386 1147993.983 2094.056
773896.996 1147612.786 773448.132 1146710.727 1082.755
773448.132 1146710.727 773547.958 1146628.131 129.566
774408.586 1154559.304 774464.157 1154443.247 128.676
776113.754 1147895.96 775140.372 1144570.83 3486.469
774464.157 1154443.247 776113.754 1147895.96 7496.03
775140.372 1144570.83 775097.75 1144462.465 116.445
