-699781.376	-1001286.294	-698666.268	-1001783.179	15.5801
-818157.27	-1038318.05	-817623.148	-1037014.96	20.5757
-738890.244	-1040092.129	-739143.03	-1040124.46	5.1599
-649175.674	-1083114.173	-649508.54	-1081915.849	16.8151
-771691.03	-1056741.32	-770168.015	-1057386.5	23.0885
-698925.234	-1010862.723	-698831.482	-1012630.365	22.5228
-708233.01	-1084992.954	-707996.479	-1083867.228	14.2485
-722967.369	-1006661.187	-725864.598	-1006765.46	51.2983
-671323.556	-1013361.815	-671334.839	-1013380.04	0.7419
-740517.56	-1057594.04	-740512.28	-1057582.49	0.3021
-676072.97	-1057055.44	-676169.25	-1057074.54	2.0208
-840762.94	-1019368.88	-840670.518	-1019476.288	3.9566
-739456.84	-1047650.3	-739501.61	-1047742.46	2.1953
-720554.445	-1047589.278	-720978.91	-1047681.804	9.5413
-646860.963	-1084552.205	-647976.31	-1088461.283	47.2753
-641605.123	-1092203.697	-641361.511	-1092462.084	7.4151
-768381.901	-1043327.415	-768948.186	-1044541.868	15.411
-822538.061	-1068643.955	-822459.54	-1068874.63	4.9431
-746806.121	-1017300.037	-746818.768	-1017317.733	0.2873
-728616.024	-1078644.729	-728602.055	-1078644.568	0.3134
-807534.432	-1051274.618	-807285.49	-1049727.11	18.6686
-765863.967	-983629.744	-766483.586	-982856.956	8.0622
-828416.25	-1029164.0	-828832.036	-1030165.093	15.4526
-722148.55	-1041869.95	-725662.193	-1042408.85	28.2179
-697966.78	-1002610.83	-697594.008	-1001104.644	18.2577
-691133.201	-1066124.921	-691161.547	-1066271.947	1.6637
-803608.21	-1077857.96	-803916.975	-1076948.765	19.5582
-723658.439	-1036741.984	-723901.304	-1036730.429	4.9959
-654577.54	-1028792.8	-655721.4	-1026706.88	33.8104
-789713.931	-1027151.929	-789783.118	-1027080.451	1.3438
-880059.211	-1017014.859	-880905.313	-1014385.715	38.6834
-718298.05	-1057596.86	-717259.4	-1057317.02	21.5519
-752145.81	-1038511.65	-752125.679	-1038679.677	3.6511
-788150.0	-990375.94	-787980.79	-990434.66	3.5994
-773231.14	-998764.04	-773902.9	-997205.3	19.7501
-711170.12	-1025870.9	-711022.23	-1025781.77	3.4536
-649085.77	-1029046.31	-648804.6	-1029120.41	3.2355
-771203.743	-989206.762	-771078.29	-990730.67	25.5914
-773237.107	-978438.398	-770903.04	-979469.9	24.6677
-811825.3	-986832.05	-811963.57	-985598.44	16.4093
-772117.211	-1018247.012	-771592.16	-1018016.29	6.9621
-719573.58	-1015047.5	-719846.08	-1013478.47	20.5966
-806118.682	-1006432.464	-802905.445	-1007319.834	50.7648
-656208.767	-1092763.429	-656812.937	-1093501.15	32.8287
-688328.881	-1046580.985	-688233.175	-1046546.614	2.089
-852656.05	-1038915.62	-854429.27	-1039690.03	24.3991
-790860.627	-1002521.829	-793542.74	-999883.96	52.8034
-733481.924	-975306.942	-734539.895	-974968.556	14.3724
-699963.086	-1071719.372	-699077.33	-1070595.49	16.9008
-805541.115	-990403.576	-805521.1	-990411.345	0.4987
-721396.0	-1052860.8	-721062.76	-1053407.858	8.3728
-676359.333	-1040833.919	-675978.208	-1041097.886	5.2563
-857071.95	-1039267.52	-854289.81	-1040087.67	38.2101
-663771.536	-1036203.713	-663566.08	-1037782.32	17.9251
-749112.72	-1053953.78	-749962.11	-1054825.44	25.4292
-765682.58	-1040663.16	-765097.63	-1039469.87	18.1351
-778922.16	-1071182.43	-781657.589	-1070927.959	32.842
-756485.88	-996910.85	-755871.129	-995504.851	23.8864
-694157.94	-1044358.01	-694128.44	-1044382.37	1.0182
-752450.15	-1042833.73	-752455.375	-1043124.0	3.2564
-730244.83	-1030971.86	-729616.5	-1031588.92	9.8704
-767628.36	-1046038.68	-767521.688	-1046058.5	2.1756
-738807.89	-1040058.4	-738890.244	-1040092.129	1.7815
-849492.813	-1064832.5	-849524.125	-1064819.0	1.1939
-778922.16	-1071182.43	-778814.3	-1071062.64	3.4241
-641605.123	-1092203.697	-642864.698	-1091196.524	22.9374
-734667.725	-1041598.981	-734904.4	-1041120.39	7.5227
-781482.919	-985956.992	-781603.936	-986039.87	3.0492
-740252.159	-1048828.77	-740042.682	-1048803.266	4.3019
-819326.668	-1076797.521	-818948.018	-1077663.065	19.1959
-781065.17	-989219.41	-781064.88	-989176.29	0.4791
-687128.448	-1059812.154	-688066.84	-1062324.49	50.02
-702051.307	-1042737.632	-700476.8	-1041432.14	23.8095
-831413.73	-984863.759	-834024.087	-983878.067	44.8584
-745098.936	-1048384.833	-744834.87	-1048200.68	6.5012
-690276.83	-1015960.33	-690459.05	-1018887.38	37.9388
-767326.434	-971436.256	-767218.369	-971343.443	3.2929
-721519.313	-1032410.851	-721593.39	-1032506.03	0.9278
-851518.2	-1010751.166	-851816.443	-1010487.409	8.0267
-753684.045	-981066.838	-754958.704	-982106.82	22.13
-737336.209	-1046745.719	-737336.38	-1046672.94	1.729
-757816.444	-1031573.963	-757892.83	-1031276.15	6.181
-721832.46	-1081626.08	-721734.23	-1079750.92	26.408
-770406.95	-1016484.18	-770317.58	-1016319.82	3.8201
-699256.34	-1061459.02	-698639.7	-1060855.31	10.1287
-658260.77	-1017886.87	-658912.297	-1021936.138	107.6937
-649269.117	-1061763.106	-649286.677	-1061749.033	0.5288
-671549.868	-1018795.541	-670644.52	-1018055.48	13.9586
-754958.704	-982106.82	-754170.984	-982983.49	15.1557
-733066.43	-1000888.03	-731996.41	-998262.67	41.5009
-738930.214	-1070969.271	-738946.797	-1071544.05	7.4857
-687083.697	-1086022.321	-688233.261	-1086832.798	16.2141
-774993.72	-1033762.995	-774972.65	-1033732.19	0.9156
-740572.33	-1040310.77	-740517.97	-1040263.89	2.07
-654990.782	-1070102.447	-655004.554	-1070119.791	0.3221
-697482.489	-1026804.253	-697605.08	-1030139.578	45.1739
-833948.712	-1071199.905	-833895.713	-1071419.942	4.5435
-801941.445	-1036474.226	-800263.776	-1036286.025	25.3769
-662783.192	-1048928.588	-663755.607	-1051422.114	35.0303
-865033.199	-1014739.988	-867009.472	-1014018.47	45.0517
-794659.195	-1039549.728	-798142.012	-1040529.697	44.8955
-782050.48	-1009785.59	-782023.23	-1007416.47	29.7122
-728843.855	-1039330.22	-729214.448	-1040266.062	12.1014
-739238.46	-1040119.82	-739082.491	-1040215.115	13.499
-708461.4	-1069518.07	-707874.94	-1069852.35	7.5697
-738120.433	-1086138.778	-738150.745	-1085874.268	398.7402
-762551.91	-1038286.19	-762567.14	-1038342.76	0.6524
-724640.929	-1034155.105	-726557.64	-1030504.07	52.0296
-705427.24	-1044468.27	-705211.72	-1044587.42	1.8948
-748333.149	-980555.381	-748074.278	-981286.736	9.1778
-718601.39	-1025304.16	-720536.65	-1026893.42	28.7379
-781214.734	-998287.394	-782077.75	-996422.43	25.7111
-646321.017	-1065809.304	-643828.134	-1066696.643	31.2041
-741812.93	-1041316.18	-742025.384	-1041551.688	7.9003
-836190.341	-989605.311	-835338.541	-986249.51	42.2265
-689537.866	-1046430.53	-689541.189	-1046445.739	0.3467
-771925.35	-1015431.21	-772409.43	-1015257.39	5.9869
-724437.183	-1041554.406	-724451.812	-1041571.23	0.3137
